Zendesk Tickets Comment Body,Zendesk Tickets Reason,Zendesk Tickets Summary
,No Reason,
"Dear sir,


We try to connect looker today, but at first always nginx problem 502 or 504. At last the service info is like following :



Looker is unavailable.

If you typed in a URL, double-check the spelling.

This may also be due to a temporary condition such as an outage, scheduled maintenance or upgrade.



hope our service can recover ASAP.


looking forward to hearing from you soon!


Best Regards,


Chunxiao",Why isn't it working?,
"








14 Haz 2019 Cum 16:28 tarihinde Dave (Looker) <support@looker.com> şunu yazdı:



Infact i already wrote David Belliot our account executive,Megan Harvey also our one of touch point also Lauren Lindenbach is our Partner Delivery program manager



Best",Why isn't it working?,
"








18 Haz 2019 Sal 14:42 tarihinde Dave (Looker) <support@looker.com> şunu yazdı:



Thanks a lot Dave


Sure from now on i can follow with David and you can close the ticket



Best



Ozan",Why isn't it working?,
"



**From:** Dave (Looker) <support@looker.com>
**Sent:** Friday, June 14, 2019 3:48 PM
**To:** Ozan Asut <ozan.asut@ondatalife.com>
**Subject:** My Looker is down



Hi Dave,



We changed nothing since last time



Error message is as below:



Best



![](https://help.looker.com/attachments/token/Fs8rS7gEsJCVMjD2zXidRNTIf/?name=image001.png)

**Looker is unavailable.**

If you typed in a URL, double-check the spelling.

This may also be due to a temporary condition such as an outage, scheduled maintenance or upgrade.

If this message persists or you have any concerns,
email us at support@looker.com and we'll respond promptly.",Why isn't it working?,
"



**From:** Patricia (Looker) [mailto:support@looker.zendesk.com]
**Sent:** Monday, June 03, 2019 4:30 PM
**To:** Benoit, Stephen B4MKT <Stephen.Benoit@Cigna.com>
**Subject:** [External] Chat with Stephen Benoit



Hi Patricia,



Thanks for following up. It was an internal access limitation on my end. All set now.



Best,

Steve

![](https://secure.gravatar.com/avatar/4892223bbb6b10de2344c860462d8d80?size=40&default=https%3A%2F%2Fassets.zendesk.com%2Fimages%2F2016%2Fdefault-avatar-80.png&r=g)

**Patricia** (Looker)

Jun 3, 1:30 PM PDT

Hi Stephen,

I wanted to check in and see if you've had a chance to take a look at the permission sets that you have. Hope all is well!

Best,
Patricia

![Looker User Guide](https://looker.zendesk.com/attachments/token/Q6Stkta6el4UyzHSAz79UGXmb/?name=UserGuide.png)
Check out our new User Guide for educational content, training and resources!



![](https://secure.gravatar.com/avatar/4892223bbb6b10de2344c860462d8d80?size=40&default=https%3A%2F%2Fassets.zendesk.com%2Fimages%2F2016%2Fdefault-avatar-80.png&r=g)

**Patricia** (Looker)

May 30, 9:11 AM PDT

Hi Stephen,

I wanted to follow up since we were disconnected yesterday. It looks like you are granted many user roles which usually contain the permission sets.https://docs.looker.com/admin-options/settings/roles#permissions_list It looks like we will need the 'save_content' permission in order to save files in spaces. Could we double check with your Looker admin and see if you have that permission.

I wonder if you are able to save a look onto the shared space? And if not we can also check with an admin who can control access to this space, and make sure that you can write to it.

Please let me know if you have any questions about the above.

Thanks,
Patricia

![Looker User Guide](https://looker.zendesk.com/attachments/token/Q6Stkta6el4UyzHSAz79UGXmb/?name=UserGuide.png)
Check out our new User Guide for educational content, training and resources!



![](https://secure.gravatar.com/avatar/15b2e96809ae3da18b19b5dcfc77f2b7?size=40&default=https%3A%2F%2Fassets.zendesk.com%2Fimages%2F2016%2Fdefault-avatar-80.png&r=g)

**Stephen Benoit**

May 29, 12:23 PM PDT

Chat started: 2019-05-29 07:12 PM UTC

(07:12:47 PM) Stephen Benoit: I'm trying to move a dashboard from my personal space to a shared space but am receiving an error
(07:12:51 PM) *** Patricia joined the chat ***
(07:13:09 PM) Patricia: Hey Stephen, hope you are doing well!
(07:13:20 PM) Patricia: Could you share with me the error you are seeing?
(07:15:15 PM) Stephen Benoit: Thanks Hope you are too. The message only says ""there was a problem moving your dashboard.""
(07:15:37 PM) Patricia: Hmm, pretty general statement
(07:15:51 PM) Patricia: Would it be okay if I get logged in and take a look from your point of view?
(07:16:02 PM) Stephen Benoit: sure
(07:16:17 PM) Patricia: Oh I may not have access
(07:16:47 PM) Stephen Benoit: is there something I need to do to provide you access?
(07:17:56 PM) Stephen Benoit: I could send you the dashboard link but not sure you'd be able to access
(07:19:06 PM) Patricia: yeah, I appreciate that but I think neither of us will be able to grant me access
(07:20:13 PM) Patricia: Let me dig around and see what are some potential roadblocks regarding moving the dashboard!
(07:21:40 PM) Stephen Benoit: okay, thanks
(07:21:49 PM) Patricia: of course!

[KZVYVD-MMQR]

------------------------------------------------------------------------------
CONFIDENTIALITY NOTICE: If you have received this email in error,
please immediately notify the sender by e-mail at the address shown.
This email transmission may contain confidential information.  This
information is intended only for the use of the individual(s) or entity to
whom it is intended even if addressed incorrectly.  Please delete it from
your files if you are not the intended recipient.  Thank you for your
compliance.  Copyright (c) 2019 Cigna
==============================================================================",Why isn't it working?,
"



---------- Forwarded message ---------
From: **Google Forms** <forms-receipts-noreply@google.com>
Date: Thu, Jun 20, 2019 at 10:31 AM
Subject: DCL Request Form
To: <alix.lelli@looker.com>




 ![Google Forms](https://ci6.googleusercontent.com/proxy/t1Vv3qXKt68KP1AzCe5Kkb21psRLWijHOvT3wLOSDVX8sW979L6toyGSYUZCkzrF63TJybR0oyToPbzNjZ4I09e8x2pEkzjZX9Xsx2izR7S-7LRSvZAARwttrg=s0-d-e1-ft#https://www.gstatic.com/docs/forms/google_forms_logo_lockup_white_2x.png)

Thanks for filling out DCL Request Form

Here's what we got from you:

# DCL Request Form



Your email address (**alix.lelli@looker.com**) was recorded when you submitted this form.







Subject *



Looker HA for Billtrust







Account Name or Instance Name *



Billtrust







Hosted by... *



- Looker
- Customer







Looker Release *



6.14.11







Severity *



- S4 (Low): Includes questions, requests for information, documentation inquiries, or other non-critical system related issues. Operations are not affected.
- S3 (Normal): Software usable but non-critical functionality or system components are affected while most operation is unaffected.
- S2 (High): Software is operative but performance is seriously degraded or restricted with a significant impact on business operation.
- S1 (Urgent): Complete loss of application functionality causing a critical impact on business operations.







Summary of issue *



 Hi DCL! Can you help me answer this question? Does Billtrust have One M4 Large EC2 node? We are going to move them to clustering, but they asked this, ""For the HA Cluster I see: ""Cluster of Three M4 Large EC2 nodes"". Right now, what do we have in production, One M4 Large EC2 node?"" Thank you!







Action Needed by DCL *



- Research + Own
- For Tracking







Should DCL reach out to customer? *



- Yes
- No







Which DCL team should this be routed to?

This is to avoid communication delay due to time zones.

- US
- EMEA
- APAC (Japan)
- Doesn't matter







## Customer Information

Please make sure the email, if provided, is a valid email address, or else the request will not be filed.







Customer Name



Alix & brie@looker.com







Customer Email



alix@looker.com

Create your own Google Form





--

 ![](https://lh5.googleusercontent.com/Kd66ez5AkSa7Z0SA4LfhQi2hmX6fg7hxICSG8IzYd9IMxlkofoigb2BHVH84zEgBY5DfuQQmGp49Rpi6gxhg6iO_fVBZQk4z4C69BUm_HPAA2-qvCrWbH7oBlcXRfGWTvufj8Wem)

**Alix Lelli**

Customer Success Manager

(c) 541-749-8245

alix@looker.com | LinkedIn

Check out Looker's new User Guide! A single destination for customer content, training and resources for learning Looker!



 ![](https://track.mixmax.com/api/track/v2/5I9LHqKn4Vedbk460/ISbvNmLyV2av9GbAhXasFmI/ISbvNmLyV2av9GbARncvBHc1NnI/gI0J3bwBXdTBiclt2bvxkI?sc=false)",No Reason,
"



Great! I'm Cc'ing your professional services engagement manager, Al, who can help get the process started by putting you in touch with our legal and customer success teams.

- Chris

![](https://lh3.googleusercontent.com/FpCh1Jd4w_au8HaO4aWVeAZDftVaZp9y4QkF90ubAuOMaSkDIfwr6GunqcyRIgIOpczIPIF57fZC1mpbSAa3OS8h5My2rjuf_sx80Za3X9ntHZmp9XSSs4LdU8LsvEjuRQhoUK3h)

**Christopher Schmidt**

Professional Services Consultant

Mobile: +1 (504) 256-5527

christopher.schmidt@looker.com









 On Mon, Jun 17, 2019 10:57 AM, Peter Muller peter@capsulecares.com wrote:


> Yes we would like to get one of those in place. What's the best way to start that process?
>
>
>
>
> On Mon, Jun 17, 2019 at 1:34 PM Christopher Schmidt <christopher.schmidt@looker.com> wrote:
>
> > Peter,
> >
> >
> >
> > I just spoke with Amber Lindke, who worked with you all during the trial, and she said she doesn't remember discussing a BAA.
> >
> >
> >
> > Is a BAA something you would be interested in pursuing further? If so, I can have your account team reach out to you with a copy of Looker's BAA for you to review.
> >
> >
> >
> > Best,
> >
> > Chris
> >
> > ![](https://lh3.googleusercontent.com/FpCh1Jd4w_au8HaO4aWVeAZDftVaZp9y4QkF90ubAuOMaSkDIfwr6GunqcyRIgIOpczIPIF57fZC1mpbSAa3OS8h5My2rjuf_sx80Za3X9ntHZmp9XSSs4LdU8LsvEjuRQhoUK3h)
> >
> > **Christopher Schmidt**
> >
> > Professional Services Consultant
> >
> > Mobile: +1 (504) 256-5527
> >
> > christopher.schmidt@looker.com
> >
> > ![](https://ci6.googleusercontent.com/proxy/zu_osIl8GUcDKuyrRVRe-PMUDerTbTE1soDNIb42DUyrpNVI2JWEIApXq0pOO1uPSMf97sl15mu4ibI=s0-d-e1-ft#https://compose.mixmax.com/img/blank.png)
> >
> >
> >
> >
> >
> >
> >
> >
> >
> > On Mon, Jun 17, 2019 9:47 AM, Peter Muller peter@capsulecares.com wrote:
> >
> >
> > > Great, thanks!
> > >
> > >
> > >
> > > On Mon, Jun 17, 2019 at 12:43 PM Christopher Schmidt <christopher.schmidt@looker.com> wrote:
> > >
> > > > Hi Peter,
> > > >
> > > >
> > > >
> > > > I'll check with your account executive and let you know.
> > > >
> > > >
> > > >
> > > > Chris
> > > >
> > > >
> > > >
> > > > ![](https://lh3.googleusercontent.com/FpCh1Jd4w_au8HaO4aWVeAZDftVaZp9y4QkF90ubAuOMaSkDIfwr6GunqcyRIgIOpczIPIF57fZC1mpbSAa3OS8h5My2rjuf_sx80Za3X9ntHZmp9XSSs4LdU8LsvEjuRQhoUK3h)
> > > >
> > > > **Christopher Schmidt**
> > > >
> > > > Professional Services Consultant
> > > >
> > > > Mobile: +1 (504) 256-5527
> > > >
> > > > christopher.schmidt@looker.com
> > > >
> > > > ![](https://ci6.googleusercontent.com/proxy/zu_osIl8GUcDKuyrRVRe-PMUDerTbTE1soDNIb42DUyrpNVI2JWEIApXq0pOO1uPSMf97sl15mu4ibI=s0-d-e1-ft#https://compose.mixmax.com/img/blank.png)
> > > >
> > > >
> > > >
> > > >
> > > >
> > > >
> > > >
> > > >
> > > >
> > > > On Mon, Jun 17, 2019 9:19 AM, Peter Muller peter@capsulecares.com wrote:
> > > >
> > > >
> > > > > Chris, are you able to confirm whether we asked you guys at Looker to sign a BAA with us?
> > > > >
> > > > >
> > > > > Thanks,
> > > > >
> > > > >
> > > > >
> > > > > Peter
> > > > >
> > > > >
> > > > >
> > > > > --
> > > > >
> > > > > Peter Muller
> > > > > capsulecares.com
> > > > >
> > > > > @capsulecares
> > > > >
> > > > >
> > > > >
> > > > > Capsule in WSJ | Fortune | Medium | Business Insider | ABC | NY Post | CNBC | TechCrunch
> > >
> > >
> > >
> > >
> > >
> > > --
> > >
> > > Peter Muller
> > > capsulecares.com
> > >
> > > @capsulecares
> > >
> > >
> > >
> > > Capsule in WSJ | Fortune | Medium | Business Insider | ABC | NY Post | CNBC | TechCrunch
>
>
>
>
>
> --
>
> Peter Muller
> capsulecares.com
>
> @capsulecares
>
>
>
> Capsule in WSJ | Fortune | Medium | Business Insider | ABC | NY Post | CNBC | TechCrunch






 ![](https://compose.mixmax.com/img/blank.png)






--

**Al Tak**

Engagement Manager

+1.224.622.4885

al.tak@looker.com

 ![](https://track.mixmax.com/api/track/v2/1nIzkhZNBkI4OwQOh/gIt92YuIXZr92bsB0ahRnLsFmI/ISbvNmLyV2av9GbARncvBHc1NnI/gI0J3bwBXdTBiclt2bvxkI?sc=false)",Other,
"



Hi Fernanda,



I fixed this error.

But, please note, that **before** I do this change, I sudoed as Robbin and his queries were executed just fine, even when I changed the roles and groups assigned to him as they were initially.



So, for now I consider this case to be closed, but please let me reserve the right to contact you again directly the next couple of days if this issue arises again.



Big thanks to you and your colleagues.



Kind regards,

Panos",Why isn't it working?,
"



Hi Jeremy and Jiro,



Thanks for this.  Works perfectly.



It was great working with you guys on Tuesday.  I really appreciate you jumping on the phone with me while all the fancy guys were in Italy.



Matt",Why isn't it working?,
